,Year,Estimated Property Loss,Fire Fatalities,Fire Injuries,Civilian Fatalities,Civilian Injuries,Num_fires
0,2003,4714251.0,0,10,0,10,492
1,2004,26263871.0,0,13,1,17,611
2,2005,30043247.0,0,10,5,45,518
3,2006,33575574.0,0,7,2,25,493
4,2007,30530284.0,0,7,1,38,565
5,2008,22752288.0,0,15,0,40,508
6,2009,22011919.0,0,23,1,45,409
7,2010,25233208.0,0,6,0,24,438
8,2011,33736308.0,2,12,3,64,421
9,2012,30773169.0,0,7,1,23,362
10,2013,19492831.0,0,9,1,28,351
11,2014,62445885.0,0,12,1,42,291
12,2015,30921175.0,0,2,0,24,269
13,2016,18539559.0,0,0,1,26,308
14,2017,23157677.0,0,0,0,29,292
15,2018,27677100.0,0,0,1,8,139
